id,slug,name,nameAr,type,cityId,address,description,descriptionLong,website,phone,email,hours,admission,latitude,longitude,yearEstablished,highlights,status
inst-001,macaal,MACAAL - Museum of African Contemporary Art Al Maaden,متحف الفن الأفريقي المعاصر المعدن,MUSEUM,city-marrakech,"Al Maaden, Sidi Youssef Ben Ali, Marrakech","Independent non-profit museum dedicated to contemporary African art, one of the first of its kind on the continent.","MACAAL showcases art from Morocco and neighboring countries through paintings, sculptures, videos, and digital art. Founded by the Lazraq family with a collection amassed over 40 years. Features the Al Maaden Sculpture Park with works from 13 artists interwoven with the golf course.",https://macaal.org,+212 676 92 44 92,info@macaal.org,"Wed-Sun 10am-6pm",70 MAD (discount for African residents),31.5847,-8.0289,2018,Sculpture Park; Contemporary African Art; 900sqm exhibition space,PUBLISHED
inst-002,ysl-museum,Musée Yves Saint Laurent Marrakech,متحف إيف سان لوران مراكش,MUSEUM,city-marrakech,"Rue Yves Saint Laurent, Marrakech 40000","Museum dedicated to fashion designer Yves Saint Laurent, featuring over 7,000 garments and 30,000 accessories.","The museum covers 4,000 sqm and was designed by Studio KO. Includes exhibition halls, an auditorium, research library with 5,000+ volumes, café-restaurant Le Studio, and bookshop. Adjacent to Jardin Majorelle.",https://www.museeyslmarrakech.com,+212 524 31 30 47,info@museeyslmarrakech.com,"Daily except Wed, 10am-6pm",100 MAD,31.6416,-7.9998,2017,Fashion history; Haute couture collections; Studio KO architecture,PUBLISHED
inst-003,jardin-majorelle,Jardin Majorelle & Pierre Bergé Museum of Berber Arts,حديقة ماجوريل,MUSEUM,city-marrakech,"Rue Yves Saint Laurent, Marrakech 40090","Iconic botanical garden created by Jacques Majorelle, housing the Berber Museum with 600+ artifacts.","One-hectare botanical garden with Cubist villa in distinctive Majorelle blue. The Pierre Bergé Museum of Berber Arts showcases jewelry, textiles, and cultural objects from Amazigh communities. Over 700,000 visitors annually.",https://www.jardinmajorelle.com,+212 524 29 86 86,,"Daily 8:30am-6pm",70-180 MAD (combined tickets available),31.6416,-7.9998,1923,Majorelle Blue; Berber artifacts; Jacques Majorelle studio,PUBLISHED
inst-004,maison-photographie,Maison de la Photographie,دار التصوير,MUSEUM,city-marrakech,"46 Rue Bin Lafnadek, Medina, Marrakech 40030","Private photography museum with 10,000+ images documenting Morocco from 1870-1960.","Three-floor museum in a restored riad near Ben Youssef Madrasa. Houses photographs, glass plates, postcards, and documentaries. Features rooftop café with Atlas views. Founded in 2009 by Hamid Mergani and Patrick Manac'h.",https://maisondelaphotographie.ma,+212 524 38 57 21,,"Daily 9:30am-7pm",50 MAD,31.6330,-7.9869,2009,Vintage Moroccan photography; Glass plate collection; Rooftop café,PUBLISHED
inst-005,marrakech-museum,Marrakech Museum,متحف مراكش,MUSEUM,city-marrakech,"Place Ben Youssef, Medina, Marrakech","Museum of Moroccan art and archaeology housed in the 19th-century Dar Menebhi Palace.","Built in the early 1900s by Moroccan nobleman Mehdi Menebhi, this palace showcases classical Andalusian architecture with courtyards, porticos, and intricate tilework. Collections include decorative objects, jewelry, ceramics, coins, and contemporary art.",https://marrakechmuseum.com,,"Daily 9am-6pm",50 MAD,31.6311,-7.9864,1997,Dar Menebhi Palace; Andalusian architecture; Massive bronze chandelier,PUBLISHED
inst-006,dar-si-said,Dar Si Said Museum,دار السي سعيد,MUSEUM,city-marrakech,"Derb Si Said, Medina, Marrakech","Museum of Moroccan craftwork featuring carpets, clothing, jewelry, pottery, and weapons.","19th-century palace built for Si Said, brother of Grand Vizier Ba Ahmed. Houses the oldest artifact in Marrakech: a chest from 1002-1007 AD. Beautiful examples of traditional woodwork, carved stucco, and zellige tilework.",,"Daily 9am-5pm",30 MAD,31.6220,-7.9880,1934,Oldest Marrakech artifact; Traditional craftwork; Palace architecture,PUBLISHED
inst-007,musee-tiskiwin,Musée Tiskiwin - Maison Tiskiwin,متحف تسكيوين,MUSEUM,city-marrakech,"8 Rue de la Bahia, Medina, Marrakech","Dutch anthropologist Bert Flint's collection of Saharan artifacts and textiles.","Collection documents the historic trade routes between Marrakech and Timbuktu. Features camel saddles, carpets, textiles, jewelry, and objects illuminating North Africa's trading post history.",,"Daily 9:30am-12:30pm, 2:30pm-6pm",25 MAD,31.6213,-7.9882,1996,Saharan artifacts; Trade route history; Bert Flint collection,PUBLISHED
inst-008,fondation-farid-belkahia,Fondation Farid Belkahia,مؤسسة فريد بلكاهية,FOUNDATION,city-marrakech,"Palmeraie, Marrakech","Foundation honoring Farid Belkahia (1934-2014), founding father of modern Moroccan art.","Neo-Moorish villa in the Palmery showcasing Belkahia's unique works using traditional brass, natural pigments, and animal skins with henna dyes. Key figure of the Casablanca Art School movement who encouraged artists to move beyond Orientalist styles.",,"By appointment",Free,31.6800,-8.0100,2014,Casablanca Art School; Amazigh motifs; Henna on animal skins,PUBLISHED
inst-009,comptoir-des-mines,Comptoir des Mines Galerie,معرض كونتوار دي مين,GALLERY,city-marrakech,"Avenue Mohammed V, Guéliz, Marrakech","Contemporary art gallery in a historic 1932 Art Deco building, former mining company headquarters.","Leading gallery for contemporary Moroccan artists. Organizes the Marrakech Art Fair and collaborates with international institutions. Two adjoining double-storey buildings showcase paintings, installations, and photography.",https://comptoirdesmines.ma,,"Tue-Sat 10am-7pm",Free,31.6358,-8.0098,2015,Art Deco architecture; Marrakech Art Fair; Contemporary Moroccan art,PUBLISHED
inst-010,david-bloch-gallery,David Bloch Gallery,غاليري ديفيد بلوخ,GALLERY,city-marrakech,"Rue des Vieux Marrakechis, Guéliz, Marrakech","Top contemporary art gallery showcasing urban art, geometric abstraction, and street art.","Dynamic space featuring both Moroccan and international artists. Regular temporary exhibitions refresh perspectives on contemporary art. Known for innovative works and strong gallery representation.",https://davidblochgallery.com,,"Mon-Sat 10am-7pm",Free,31.6340,-8.0060,2010,Urban art; Street art; International artists,PUBLISHED
inst-011,galerie-127,Galerie 127,غاليري 127,GALLERY,city-marrakech,"127 Avenue Mohammed V, 2ème étage, Guéliz, Marrakech","Pioneer photography gallery in a converted apartment with stark white walls.","Opened in 2006, focusing on modern travel photography from around the world. Features striking images by photographers from various countries, capturing people, landscapes, and buildings.",,"Mon-Sat by appointment",Free,31.6369,-8.0083,2006,Travel photography; International photographers; Converted apartment,PUBLISHED
inst-012,galerie-siniya28,Galerie SINIYA28,غاليري سينيا 28,GALLERY,city-marrakech,"Derb Aarjane Rahba Lakdima, Medina, Marrakech","Gallery dedicated to emerging Moroccan and international artists across multiple mediums.","Founded in 2016 by Hadia Temli (third generation in art). Showcases ceramics, textiles, design, photography, painting, and mixed media by self-taught and academically trained artists connected to Morocco.",,"Tue-Sat 10am-6pm",Free,31.6285,-7.9880,2016,Emerging artists; Multi-disciplinary; Creative playground concept,PUBLISHED
inst-013,jardin-rouge,Jardin Rouge - Montresso Art Foundation,الجنان الأحمر,RESIDENCY,city-marrakech,"Route de Ouarzazate, Marrakech","Artist residency supporting international contemporary artists with 8 studios.","Created by Montresso Art Foundation, this residency has supported nearly 30 artists per cultural season for almost ten years. Artists work with local master craftsmen in wood, resin, and metal. Features a preserved environment for experimentation and dialogue.",https://montresso.com,,"By appointment",Free,31.5500,-7.9500,2014,Artist residency; 8 studios; Craftsmen collaboration,PUBLISHED
inst-014,macma,MACMA - Museum of Art and Culture of Marrakech,متحف الفن والثقافة بمراكش,MUSEUM,city-marrakech,"61 Rue Yougoslavie, Passage Ghandouri, Guéliz, Marrakech","Private museum showcasing Moroccan photography, contemporary art, and vintage collections.","Founded by collector Nabil El Mallouki. Features works by Mohamed Ben Ali R'bati ('father of Moroccan painting'), antique tapestries, jewelry, vintage clothing, and motorcycles. Changing exhibitions highlight famous contemporary artists.",,"Daily 10am-7pm",60 MAD,31.6340,-8.0075,2016,Mohamed Ben Ali R'bati; Vintage collections; Collector's museum,PUBLISHED
inst-015,matisse-gallery,Matisse Art Gallery,غاليري ماتيس,GALLERY,city-marrakech,"43 Passage Ghandouri, 61 Rue Yougoslavie, Guéliz, Marrakech","Gallery featuring Morocco's most famous contemporary artists including Mahi Binebine and Farid Belkahia.","Not dedicated to Henri Matisse but showcases Moroccan masters. Features Binebine's beeswax sculptures and Belkahia's henna paintings. Also displays calligrapher Daifallah and Hassan El Glaoui.",,"Mon-Sat 9:30am-12pm, 3pm-7:30pm",Free,31.6340,-8.0074,1999,Mahi Binebine; Farid Belkahia; Contemporary Moroccan masters,PUBLISHED
inst-016,galerie-noir-sur-blanc,Galerie Noir Sur Blanc,غاليري نوار سور بلان,GALLERY,city-marrakech,"Guéliz, Marrakech","Contemporary art gallery showcasing popular and famous Moroccan modern artists.","Regular exhibitions featuring established and emerging Moroccan talent. Focus on painting with occasional sculpture and mixed media shows.",,"Mon-Fri 3pm-7pm, Sat 10am-1pm, 3pm-7pm",Free,31.6350,-8.0080,2005,Modern Moroccan painting; Established artists,PUBLISHED
inst-017,voice-gallery,Voice Gallery,غاليري فويس,GALLERY,city-marrakech,"Sidi Ghanem Industrial Zone, Marrakech","Bold contemporary gallery showcasing innovative and emerging artists.","Founded in 2011 by Italian expat Rocco Orlacchio. Known for taking risks on emerging talents who may have never been given gallery space before. Recently relocated after building collapse.",,"Tue-Sat 10am-6pm",Free,31.5900,-8.0400,2011,Emerging talent; Experimental art; Italian-founded,PUBLISHED
inst-018,lblassa-art-space,L'BLASSA Art Space,البلاصة,GALLERY,city-marrakech,"Guéliz, Marrakech","Contemporary gallery and coworking space welcoming international artists and curators.","Showcases artists including François Beaurin, Yvanovitch Mbaya, and Nicolas Denino. Combines gallery with adjacent coworking space for creative community.",,"Tue-Sat 11am-7pm",Free,31.6340,-8.0070,2018,International artists; Coworking; Creative community,PUBLISHED
inst-019,qoubba-gallery,Qoubba Gallery of Arts,غاليري القبة,GALLERY,city-marrakech,"91 Souk Talaa, Medina, Marrakech","Gallery combining the magic of the medina with contemporary Moroccan paintings.","Founded in 2002, represents over 62 artists depicting Moroccan culture. Located in the heart of the old medina, offering a unique experience merging historic setting with modern art.",https://www.qoubbagalerie.com,+212 524 39 03 71,laqoubbagalerie@gmail.com,"Daily 9am-6pm",Free,31.6300,-7.9870,2002,62+ artists; Medina location; Moroccan culture,PUBLISHED
inst-020,dada-marrakech,DaDa Marrakech,دادا مراكش,CULTURAL_CENTER,city-marrakech,"Derb Moullay Abdullah Ben Hussain, Bab El Ksour, Medina, Marrakech","Innovative art gallery with bookshop, concert space, cantina, and restaurant.","Housed in a former bus station near Djemaa el Fna. Features inspiring interiors with bespoke Moroccan carpets and locally-designed modern lighting.",,"Daily 10am-11pm",Free,31.6250,-7.9900,2019,Multi-use space; Bookshop; Concert venue,PUBLISHED
inst-021,villa-des-arts-casablanca,Villa des Arts Casablanca,فيلا الفنون الدار البيضاء,MUSEUM,city-casablanca,"30 Boulevard Brahim Roudani, Casablanca","ONA Foundation museum in a stunning 1934 Art Deco villa promoting modern and contemporary arts.","Permanent collection features Ahmed Cherkaoui, Jilali Gharbaoui, Mohamed Serghini, Farid Belkahia, and Mohamed Chebaa. Regular temporary exhibitions and educational programs for schools.",https://fondationona.ma,,"Daily except Wed, 10am-6pm",Free,33.5880,-7.6320,1999,Art Deco villa; Casablanca Art School artists; Educational programs,PUBLISHED
